City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Mashpee,Massachusetts,2649,0,9,3422,73,1676,37,16,0,0,305,2990,113,129,1303,6,119,48,18,364,3,13,18,11,4,26,821,7,22,6,1007,100,47,273,27,36,13,26.5,0
Danvers,Massachusetts,1923,0,5,0,0,263,35,0,0,0,482,985,0,59,2888,0,93,48,44,0,0,8,0,3,0,10,78,0,19,0,435,151,188,168,392,12,0,10.8,0
Somerville,Massachusetts,2145,5,62,1013,3,405,151,0,13,16,167,13256,4,51,1372,28,296,71,56,3,11,22,21,7,3,53,47,45,181,0,4290,113,416,700,200,101,270,19.7,0
Dover,Massachusetts,2030,3,53,82,17,154,4,5,0,0,251,995,2,78,312,7,155,14,0,0,0,12,0,0,29,42,15,7,22,0,1784,30,95,304,90,24,0,13.8,1
Marblehead,Massachusetts,01945-1223,0,23,45,2,0,31,126,0,0,75,11258,6,59,255,79,665,185,8,3,2,6,0,4,0,21,149,31,77,0,0,0,0,555,101,8,0,16.0,0
Medfield,Massachusetts,2052,0,20,29,0,0,8,7,0,0,0,867,0,406,1380,7,53,4,0,0,0,3,0,0,0,89,45,8,36,0,0,0,0,362,50,10,0,7.8,0
Everett,Massachusetts,2149,0,0,111,53,0,40,18,9,0,222,1787,250,28,1564,8,1159,148,28,0,0,13,58,5,7,8,16,3,31,21,0,0,0,516,33,645,0,20.1,0
Amherst,Massachusetts,01002-1267,5,9,82,4,0,0,0,0,0,0,1284,3,32,168,2,60,4,0,0,0,4,7,3,9,8,8,6,33,4,0,0,0,208,17,5,0,5.3,0
A,Massachusetts,1301,0,2,5,0,0,52,0,0,0,207,1681,0,26,1768,14,58,35,0,0,0,0,3,0,16,61,58,207,12,0,0,0,0,458,1933,8,0,9.0,0
Suttons Bay,Michigan,49682,0,4,34,0,264,5,0,0,0,70,5330,3,144,653,9,113,25,0,0,0,9,3,0,0,73,27,123,344,0,6241,25,1065,1444,11,111,0,6.2,0
Suttons Bay,Michigan,49682,0,3,3,5,1889,31,19,0,0,616,1588,0,73,5675,9,174,73,23,0,0,5,0,4,0,16,38,45,41,0,765,14,209,257,23,755,7,12.7,0
Armada,Michigan,48005,0,4,2,0,41,2,0,0,0,50,102,0,0,127,3,60,3,31,0,0,8,3,0,0,12,60,3,3,0,212,0,90,50,2,11,0,9.0,0
Commerce Township,Michigan,48390,0,0,17,0,2819,429,0,0,3,3915,1557,9,22,3193,0,29,0,0,0,0,0,0,2,0,12,91,11,54,3,795,4,137,1130,0,2,2,12.6,0
Novi,Michigan,48374,0,93,100,2503,102,40,0,0,34,304,19,0,94,35,10,0,0,0,0,706,20,9,6,52,0,186,0,5,0,623,92,41,22,136,3113,0,16.7,0
Berkley,Michigan,48072-2082,6,24,3357,12,249,9,14,0,5,250,2166,30,70,1062,17,252,130,39,34,5,15,6,39,10,94,76,154,90,9,7275,41,760,1124,74,244,21,19.9,0
Commerce Township,Michigan,48390,0,0,172,0,0,0,498,0,0,0,119,328,29,6,0,175,0,0,0,0,0,0,0,0,932,8,0,56,0,0,0,0,240,239,0,0,3.5,0
Dorr,Michigan,49323,1,6,20,2,0,13,0,0,0,35,200,31,31,200,0,56,28,17,0,0,4,2,1,0,2,140,97,28,0,0,0,0,330,7,100,3,5.64,0
Clarkston,Michigan,48346,3,14,254,28,0,18,18,0,0,43,2960,11,37,208,20,178,237,108,0,0,4,5,4,0,20,65,54,92,5,0,0,0,623,44,70,0,14.6,0
Kalamazoo,Michigan,49004,3,0,15,0,0,0,0,0,0,0,1489,8,80,118,0,75,0,0,0,0,21,0,0,0,3,15,6,90,0,0,0,0,3023,3,77,0,1.6,1
Allen Park,Michigan,48101-2300,0,15,230,26,0,75,21,9,1,4100,410,380,41,4100,1,74,34,240,5,0,140,4,160,74,18,2400,21,100,8,0,0,0,210,94,750,7,19.42,0
Gladstone,Michigan,49837-2425,143,47311,354,152,0,184,109,564,16,7744,73,766,452,73,15,856,203,0,44,2387,192,2,188,57,914,54,1189,231,56,0,0,0,558,1398,294,7,29.9,0
Caledonia,Michigan,49316-7432,0,0,7,0,0,0,3,0,0,0,582,0,11,43,0,47,0,0,0,0,0,3,0,0,6,7,6,42,0,0,0,0,788,5,0,0,-0.4,1
Owosso,Michigan,48867-8200,3,4,7,110,0,19,17,0,0,321,2201,23,28,351,0,317,4,345,3,0,4,11,58,5,133,287,103,53,0,0,0,0,1282,91,26,0,17.8,0
Ann Arbor,Michigan,48105-2508,83,23,278,7,0,13,13,0,0,0,5438,4,27,762,14,214,69,8616,835,0,15,9,5,0,223,56,433,648,0,0,0,0,7213,45,84,3,15.8,0
Blaine,Minnesota,55445,0,54,0,0,240,0,0,0,0,2000,440,0,12000,2200,0,0,0,0,0,0,0,4,0,0,0,280,0,870,0,12000,5,130,260,6,19,6,6.0,1
